recorded_at,open_price,high_price,low_price,close_price,volume,rolling_mean,rolling_std,z_score,position,market_return,position_lag,gross_return,turnover,strategy_return,equity
2026-08-10 09:15:00,1330.0,1332.0,1326.5,1327.9,0,,,,0,0.0,0.0,0.0,0.0,0.0,100000.0
2026-08-10 09:20:00,1328.4,1328.4,1326.2,1327.4,140932,,,,0,-0.0003765343775886665,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 09:25:00,1327.4,1327.4,1324.6,1325.4,104767,,,,0,-0.0015067048365224878,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 09:30:00,1325.4,1325.5,1324.4,1325.0,139097,,,,0,-0.0003017956843217595,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 09:35:00,1325.1,1325.7,1324.5,1325.2,134224,,,,0,0.000150943396226344,0.0,0.0,0.0,0.0,100000.0
2026-08-10 09:40:00,1325.0,1325.4,1323.0,1323.5,114410,,,,0,-0.0012828252339269763,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 09:45:00,1323.8,1324.2,1322.2,1323.8,172086,,,,0,0.0002266717038155175,0.0,0.0,0.0,0.0,100000.0
2026-08-10 09:50:00,1323.7,1324.0,1323.1,1323.7,89567,,,,0,-7.554011179933262e-05,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 09:55:00,1323.7,1323.7,1322.9,1323.4,41014,,,,0,-0.00022663745561679605,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 10:00:00,1323.4,1323.9,1322.8,1323.2,49209,,,,0,-0.00015112588786458936,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 10:05:00,1323.1,1323.8,1322.6,1322.8,91763,,,,0,-0.0003022974607014284,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 10:10:00,1322.8,1323.4,1322.0,1322.6,96628,,,,0,-0.00015119443604483251,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 10:15:00,1322.8,1326.7,1322.8,1325.0,131281,,,,0,0.001814607591108519,0.0,0.0,0.0,0.0,100000.0
2026-08-10 10:20:00,1324.9,1328.0,1324.9,1327.7,92777,,,,0,0.0020377358490566433,0.0,0.0,0.0,0.0,100000.0
2026-08-10 10:25:00,1328.0,1328.8,1326.5,1327.9,110696,,,,0,0.00015063643895452117,0.0,0.0,0.0,0.0,100000.0
2026-08-10 10:30:00,1327.9,1328.0,1326.7,1327.1,79047,,,,0,-0.0006024550041420218,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 10:35:00,1327.1,1327.8,1326.5,1327.0,40671,,,,0,-7.535227187094318e-05,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 10:40:00,1327.0,1328.2,1326.9,1327.6,44020,,,,0,0.00045214770158241713,0.0,0.0,0.0,0.0,100000.0
2026-08-10 10:45:00,1327.6,1329.4,1327.1,1328.5,87296,,,,0,0.0006779150346489793,0.0,0.0,0.0,0.0,100000.0
2026-08-10 10:50:00,1328.5,1329.1,1327.9,1328.9,68864,1325.6799999999998,2.1179930917834455,1.5203071306001616,0,0.00030109145653001157,0.0,0.0,0.0,0.0,100000.0
2026-08-10 10:55:00,1328.9,1328.9,1328.0,1328.1,44952,1325.69,2.1294674402177702,1.1317383654165643,0,-0.0006020016555047247,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 11:00:00,1328.1,1331.5,1328.0,1330.5,173555,1325.845,2.3607480973089134,1.9718325751512178,0,0.0018070928393947305,0.0,0.0,0.0,0.0,100000.0
2026-08-10 11:05:00,1330.5,1330.5,1329.1,1329.6,158481,1326.0549999999998,2.5016783839739323,1.4170486592960112,0,-0.0006764374295378239,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 11:10:00,1329.2,1330.6,1327.2,1330.6,106006,1326.335,2.6841199675127045,1.5889751768256928,0,0.0007521058965103133,0.0,0.0,0.0,0.0,100000.0
2026-08-10 11:15:00,1330.5,1331.0,1329.5,1331.0,48548,1326.625,2.8624382319238797,1.528417260224864,0,0.00030061626333988123,0.0,0.0,0.0,0.0,100000.0
2026-08-10 11:20:00,1331.0,1331.5,1330.0,1330.0,94044,1326.95,2.857952892691355,1.0671974362487644,0,-0.0007513148009016257,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 11:25:00,1330.0,1331.8,1329.8,1331.0,92129,1327.31,2.893531806597343,1.2752581435554775,0,0.0007518796992480592,0.0,0.0,0.0,0.0,100000.0
2026-08-10 11:30:00,1331.0,1331.0,1329.2,1329.3,43649,1327.59,2.7950896793825133,0.6117871682663888,0,-0.0012772351615326638,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 11:35:00,1329.2,1332.6,1328.7,1331.6,153528,1328.0,2.7491625519135123,1.3094896835016847,0,0.0017302339577220938,0.0,0.0,0.0,0.0,100000.0
2026-08-10 11:40:00,1331.7,1331.9,1329.9,1329.9,138013,1328.335,2.5332057908802517,0.6177942611824838,0,-0.0012766596575546352,0.0,-0.0,0.0,-0.0,100000.0
2026-08-10 11:45:00,1329.5,1329.5,1327.8,1329.0,120032,1328.645,2.1741241430690694,0.16328414416064016,0,-0.0006767426122264997,0.0,-0.0,0.0,-0.0,100000.0
